komentar,cleaned,sentimen,emosi
"Tolong siapa aja yg se sel sama dia kasih ""pelajaran"".. tar gw kasih hadiah deh..",siapja yg l sama tar g kasiadiah,Negatif,Lainnya
Maaf kok dadanya KY wanita,mf kok nya ky,Negatif,Lainnya
"Gara gara i...t..L hancur karier, dongo",l hancur,Negatif,Lainnya
Susunya menul” pol kirain buci 😂,nya menul pol kirain buci,Netral,Lainnya
"Naudzubillah min dzalik, semoga anak-anak keturunan kita dijauhkan dari menungso bejat koyo ngene. Koe ki utekmu nengndi to jane? Sekolah angel-angel, larang-larang, kok iso perkoro selangkangan ae mengorbankan perjuanganmu sing angel kui. Nek ra goblok opo jenenge? Alhamdulillah Allah tunjukkan kebejatanmu sing ra masuk akal. Duitmu mesti yo okeh kan nek trima arep medhok ae. Kok malah nyalahi aturan. Guoblok.",naudzubiah min semognak anaeturunan jauh menungso bejat koyo koe ki utekmu nengndi to jane sekolah angel angearang kok iso perkoro selangkang ae korban juang sing angel nek ra goblok opo jge alhamduliah aah tunjuan bejat sing ra masuk duit mesti ykeh kaek trimrep medhok kok malah nyalahi,Netral,Lainnya
"apasih yg ada di otaknya, kebanyakan nnton film bkep kali ya",apasih yg di kebanyakanton film bkep kali,Negatif,Lainnya
"Ngapain segala dipakein masker. BUKA TUH MASKER, org macem gini gak perlu di tutup tutupin mukanya. 😡",ngapain segala dipakein buka tuh org macem gin gak perlu in,Negatif,Marah
Dokternya ceritanya mau cosplay jadi dokter johnny sins 😂,dokter cerita mau cosplay jadi dokter johy sins,Netral,Lainnya
Hih sia mah,hih sia,Netral,Lainnya
naha bengeut culun rata² predator 😂,naha bengeut culun rata predator,Negatif,Lainnya
"Maaf koreksi min, MCHC singkatan dari Maternal & Child Health Center 🙏🏻",mf koreksi mchc singkat maternal child health center,Negatif,Lainnya
Kenapa para wartawan gak ngasih hadiah? Tabok please 😭👊🏻,nara arta gak ngasiadiah tabok please,Negatif,Sedih
dia cowok apa cewek serius nanya😂,cook apa ceek serius nanya,Netral,Lainnya
Tandain jgn smpe jd dokter,tandain jgn smpe,Negatif,Lainnya
Ya Alloh...smoga mendapat Hidayah,smoga dapat,Negatif,Lainnya
"Enak nya ga seberapa, eh ngorbanin segalanya",enak nya ga eh ngorbanin,Negatif,Lainnya
"Apaansih malu maluin bgt @infojawabarat ngasih beritanya? Gedung MCHC bukan itu kali singkatannya admin, udah 2025 banyakin baca deh",apnsih in bgt ngasih berita gedung mchc bukan kali udah banyakin baca,Netral,Lainnya
"Bentar bentar, ini di lakukan ke pasien atau rekan kerja?",laku pasien rekan kerja,Netral,Lainnya
Jmn sekarang watak seseorang gak bisa kita lihat/nilai dari status sosialnya mau guru polisi dokter pejabat bahkan ustad sekalipun bisa melakukan hal keji seperti itu. semoga kita dilindungi dari org org seperti itu..,jmn sekarang atak oranak lihat nilai statuosialnya mau guru polisi dokter jabat bahkan ustad sekalipun laku keji moga kita lindung,Netral,Lainnya
Kalo sendiri kayanya ga mungkin,kalo sendiri kaya ga,Negatif,Lainnya
Lebar ehmm sakola mahal²😢,lebar eh sakola mahal,Negatif,Sedih
sing te bisa ngompol 🙂‍↕️,sing te ngompol,Netral,Lainnya
Hati-hati polwanya nanti kena bius,hati hati pola kena,Netral,Lainnya
Ya allah pak dokter kenapa lo ga beli boneka kareet aja ..😂,yah pak dokter lo ga beli bonert,Negatif,Lainnya
Bagus..musti ditindak lgsg orang macem gitu,musti tindak lgsg orang macem,Netral,Lainnya
Pak Polisi tolong kasih paham se paham-pahamnya di dalem ya.,pak polisi kasih paham se paham paham dalem,Negatif,Lainnya
"Gelar ancur gara"" gakuad nahan napsu😢",gelar ancur gakuad nahaapsu,Negatif,Sedih
loba teuing nonton film JAV 😂😂😂,loba teuing nonton film jav,Negatif,Lainnya
Gellooo nyak teu mikir Kitu kuliah kedokteran tuh mahal pisan 😭,geo nyak teu mikir kitu kuliah dokter tuh mahal pis,Negatif,Sedih
AWAS LEBIH WASPADA UNTUK DI PERIKSA SEKARANG DOKTER DOKTER UDAH BRANI MELAKUKAN HAL SENONOH,aas lebih aspada di periksa sekarang udah brani laku,Negatif,Lainnya
"ITIL
Ilmu Tanpa Iman Lebur

@afadhli__ @uwin00 @pratamavikry @megaaul",itmu iman lebur,Negatif,Lainnya
Habek dadana sakali mah,habek na sakal,Netral,Lainnya
@elsamelindap @sekarism kasian banget itu raut wajahnya dokfit cape bener keknya yaa ges,kasi banget raut ajahnya dokfit cape bener kekna,Netral,Lainnya
pendidikan tinggi gak menjamin yahh,pen tin gak jamin,Netral,Lainnya
Mas yaampun sekolah yang tinggi endingnya malah begini....,mas ympun sekolah tin endingnya malah,Negatif,Lainnya
Ini hanya satu diantara sejuta kasus pelecehan yg terungkap,hanya satu antara juta kasus leceh yg,Negatif,Lainnya
Nu kieu bisa jadi dokter haduhh,nu kieu jadi dokter,Netral,Lainnya
Hancur nama baik keluarga dan hancur karir bentar lg depresi berat tuh hanya gara2 nafsu tak terkontrol.. 👍,hancur nama baieluarga hancur karir bentar lg depresi berauanya gara nafsu tak,Negatif,Sedih
"Wahai para tahanan yg nanti 1 sel sama beliau ini..., kalian tau kn harus ngapain?? Kalau perlu harus sampe pecah bijinya",ahai tah yg sel sama beliau tau kn ngapain kalau perlu haruamcah,Negatif,Lainnya
Mas apa mba sih ini?? 😮,mas apa mba sih,Netral,Lainnya
"Salfok sama dada dokter nya,kyk punya tetek",salfok sama dokter punya,Negatif,Lainnya
Putih benerrr. Kek anak orkay,putih kek anak,Netral,Lainnya
"nikmt gk sbrapa , hancur sehancur hancur nya , karir , keluarga malu 😢😢",nikmt gk sbrapa se nya malu,Negatif,Sedih
Di bjn ada yang di leceh in di RS orang e crita ke aku sampe nangis 2 tp mau bantu ga ada bukti.,bjn yang leceh in rs orang e crita aku sampe nang tp mau bantu gda,Negatif,Sedih
untung baheula teu di tuluykeun kuliah dokter teh,untung baheula teu tuluykeun kuliah dokter,Negatif,Lainnya
Pasien mya di apain sih,pasien mya apain,Netral,Lainnya
"kawan yg satu ini sel nya jgn di pisah ya pak pol,jd klu bisa di gabung dgn teman2 tahanan yg lain.. Biar di ospek dulu🔥🔥🔥",kaan yg satu sel nya jgn pisah palu gabung dgn teman tah yg biar di ospek dulu,Netral,Lainnya
pingin tahu urutan kejadiannya...,pingin tahrutan,Negatif,Lainnya
Kok TT nya geol geol yaa,kok nya,Negatif,Lainnya
Semoga dikasi paham sama para napi di sana ya.. Jangan kadi ampun,moga kasi paham sama napi sana jangan kadi,Netral,Lainnya
"cocok pake baju tahanan, di banding baju dokter🫵🏻🫵🏻",k pake baju banding baju dokter,Negatif,Lainnya
Kok dadanya kayak nonjol gitu ya? Kayak cewek,kok nya kayak nonjol gitu kayak,Negatif,Lainnya
Pake Miniset kata gue mah tt lu nonjol,pake miniset kata gue mah lu,Negatif,Lainnya
Dr ini bagian 58%,dr bagi,Negatif,Lainnya
"Siap2 digulung sama penghuni Lapas, 😂😂 pemerkaosan kasta terendah dalam dunia kriminal 🤡",siap gulung sama huni kaos kasta rendah dunia kriminal,Negatif,Lainnya
ih gapake plat jambi,ih gapake plat,Negatif,Lainnya
"Dokter lek kakean ndelok por** yo ngene iki, gak nduwe akal dan iman, dadi san*****",dokter leakeadelok por yo ngene gak ndue akal dadi san,Negatif,Lainnya
Belah Duren Banyak Pak Dokter,belah duren banyak pak,Negatif,Lainnya
"Maaf2 kata JABLAY banyak tinggal lo bayar, selesai,",mf kata jablay banyak tinao,Negatif,Lainnya
Buka atuh maskerna kehed !!,buktuh maskerna kehed,Negatif,Lainnya
Mencoreng kedokteran ini mah nempo benget na GE sieun,coreng dokter mah nempo benget na ge,Negatif,Lainnya
Suruh pake BH dlu ih...malu,suruh pake bh dlu,Netral,Lainnya
Tolong cabut gelar dokternya jangan ijinkan kerja di RS manapun atau buka praktek sndiri 😭 ini sangat berbahaya dan akan merugikan banyak org ya Allah guendeng Kon iku masmas sklh larang2 smpek gelar doktor mbok gawe dino2 d tahanan,cabut gelar dokter jangan ijinkan kerja rs mana buka praktek sndiri sangat bahaya akan rugi banyak org yah guendeng kon iku sklh larang smpek gelar doktor mbok gae dino d,Negatif,Sedih
Kelainan mental lu ye,lain tau,Netral,Lainnya
Abis ini mah ntar d dalem 😂,abis mah ntar alem,Netral,Lainnya
Hancur krn apem😂,hancur krn apem,Netral,Lainnya
"Akibat nafsu sesaat, lgsng hilang masa depan cerah😂😂😂",akibat nafsu lgsng hilang masa depan cerah,Negatif,Lainnya
Sakit jiwa ni dokter,sakit jia ni,Netral,Lainnya
"Makanya gua paling anti kalo suruh istri berobat ke dokter laki"" 😆",makanya gua paling anti kalo suruh istri obat dokter,Negatif,Lainnya
Katanya satpam😂,kata satpam,Netral,Lainnya
"Malu2in keluarga aja..kasihan orang tuamu,dah di sekolahin tinggi2,malah menjatuhkan harga dirimu sendiri.",maluin kasihan orang sekolahin jatuh harga diri,Negatif,Lainnya
Otak nya di teunden dimana Ari manehh...teu nyaah Kana jadi kolot meunang kahayang cina jadi dokter teh..malah cabul.a.,otak nya teunden dimanri teu nyh kana jadi kolot meunang kahayang cina jadi dokter,Negatif,Lainnya
Ga ada yg bawa telur busuk?,gda yg baa telur busuk,Negatif,Lainnya
Ampunnn Gusti jaman Kiwari asa loba jelema lieur,ampun gusti jaman kiar asa loba jelema,Negatif,Lainnya
Bisa gak sih setiap pidana klo lagi pers gini gausa pake masker 😭,gak sih setiaidana klo pers gin gausa pake masker,Negatif,Sedih
Jug dah dok dok padok mending padok jajan kan duit banyak hadeh 😂,jug dah padok mending padok n kan duit banyak hadeh,Negatif,Lainnya
Nyesel kan... Percuma juga dah telat,nyesel percuma dah,Netral,Lainnya
"Status dokter,duit banya,muka mulus,putih. Padahal dengan status gitu rasanya ga mungkin ga bisa dekati cewe secara baik"" tanpa paksaan , tapi hanya karena fetish bisa bisa melakukan hal yg aneh,apa yg merasuki nya padahal masuk dokter susah tapi karena gabisa kontrol diri hancur",padahal status gitu rasa ga mungkin ga dekat cee tanksn karena fetish laku rasuk nya padahal masuk dokter susah karena gabisa kontrol diri,Netral,Lainnya
Wkwkwkwwkwkw masih mulus itu di bikin ledes ledes dah sama bang Napi di dlm 🤣🤣🤣,k mulus bikin dah sama bang napi di dlm,Negatif,Lainnya
Dia cewe apa cowo.?🤔,cee apa,Netral,Lainnya
"LEBAR KU USAHA JEUNG DUIT, RUSAK KU KALAKUAN",lebar ksaha jeung rusau,Negatif,Lainnya
njir padahal masuk kedokteran susah banget dapet gelar malah ngancurin idup sendiri,njir padahal masuedokteran susah banget dapet gelar malah ngancurin idup,Negatif,Lainnya
Kenapa muka ditutupin ?,muka pin,Netral,Lainnya
Salam buat napi di dlm jgn lupa di bonyokin 👏,salam buat napi dlm jgn lupa bonyokin,Negatif,Lainnya
Korban siapa perempuan atau laki?,korban siapa perempuan laki,Negatif,Lainnya
Duit banyak ngapa lu kagak jajan aje sie dok 😂 cari penyakit aje pake segala merkaosss ampunn dok 😂😂,duit banyak ngapa lu kagak n aje sie dok cari sakit aje pake segala merkaos ampu dok,Negatif,Lainnya
Kok punya tetek?,kok punya k,Negatif,Lainnya
Ngapain di tutup maskernya buka dong,ngapain p masker buka,Negatif,Lainnya
Boleh dong d sunat 1000x 🤣,dong d sunat x,Negatif,Lainnya
Salfok ma kaki nya untung napak😢,salfok ma kaki nya untung napak,Negatif,Sedih
Si satpam nya mana....ga sekalian satpam juga di tangkap,si satpam nya ga sekali satpam di,Negatif,Lainnya
sunatan deui teu ideng kieu mah,sunat deui teu ideng kieu,Negatif,Lainnya
Sekolah anastesi mahal banget massssss Rugi bgtt,sekolah anastesi mahal banget ma rugi,Negatif,Lainnya
Kasian bgt korban nya.😢,kasi bgt,Negatif,Sedih
Sdh sekolah setengah mati ortunya biayai ahirnya trima kenyataan anaknya kelainan...duhh gmn ya hati kedua ortunya mirissss,sdh sekolah tengah mati ortunya biaya ahirnya trima kenyatn anak du gmn hati dua ortunya,Negatif,Lainnya
Kenapa harus dikasih masker pak polisi? Maskernya berapa duit?,harus kasih masker pak polisi masker berapa duit,Negatif,Lainnya
di loco nganggo minyak tawon manuke,loco ngano minyak taon,Negatif,Lainnya
"Tolong Yang Di Penjara Babang² Napi Wakili Kita Yah Untuk Vigilante, Sampe Di Kebiri Mukanya ancur dan Memohon Kematian. Pengecut gitu Jng di biarkan Hdp tenang.",yang penjara ng napi akil yah sampe kebiri mukanyncur mohon kecut gitu jng biar hdp,Negatif,Lainnya
"siapapun yg ad ddlm sel, tlong habiskan pelaku ini, bner2 biadap 😤",siun yg adlm tlong habis laku bner biadap,Negatif,Lainnya
Yg begini ini yg bikin pasien byk lari ke luar negeri...,yg beg yg bikin pasien byk lari luar,Negatif,Lainnya
Wsrtawannya terlalu baik,srtaaya terlalu,Netral,Lainnya
"enaknya bentar, malunya seumur hidup",enak malu umur,Negatif,Lainnya
Nafsu itu menghancurkan segalanya😢,nafsu hancur segala,Negatif,Sedih
Ko ada gunungnya😮,ko ggnya,Negatif,Lainnya
Lah bodinya kurus tapi gynomastitis 😂,lah bodi kurus gynomass,Negatif,Lainnya
"Rshs wajib bertanggung jawab juga kok bisa terjadi yg seharusnya rs itu tempat yg aman, kemana petugas yg lain sekelas rshs d ruangan hanya ada ppds sama korban kemana perawat2 yg lain",rshs ajiertanung jaab kok jadi yg rs tempat yg tugas yg kelas rshs d ruang hanyda dama korban peraat yg,Netral,Lainnya
Kalakuan sia biadab mang,kalakuan sia biadab,Negatif,Lainnya
Pas melakukan GK pakai masker Uda JD tersangka pakai masker hadeh,pas laku gk pakai masker uda jd sangka pakai masker,Negatif,Lainnya
Semogga semua duit orang tuanya tidak dapat membeli hukum yg lemah di negeri konoha,moa semua duit orang tua dapat beli hukum yg lemah negeri,Negatif,Lainnya
Udh hbs berapa M itu jd Dokter,udbs berapa m,Netral,Lainnya
“Wah ganteng sekaliii” “ masih mulus itu” 😂,ah ganteng sekali mulus itu,Negatif,Lainnya
"Audzibilah himindzalik,kurang iman 🤦",audzibilah iman,Negatif,Lainnya
Selain dihukum Harus dicabut gelar dokternya dan diblacklist tidak boleh bekerja di bidang kedokteran dan kesehatan.,hukum cabut gelar dokter diblacklisidak kerja bidang dokter,Negatif,Lainnya
Hemmm... Selesai sdh gelarmu dok,selesai sdh gelar,Negatif,Lainnya
Mencemarkan nama dokter aja y,mencemarkaama dokter aja,Negatif,Lainnya
Masih muda ih kenapa atuh begitu astaghfirullah,muda ih kenaptuh,Negatif,Lainnya
Keluarga mu apa ga malu????dokter kyk gt.bejat bgtt moral.akhlak lu,keluarga mu apa ga malu dokter kyk bg,Negatif,Lainnya
"""masih mulus itu"" ayo semangat salam olahraga🤩",mulus ayo semangat salam olahraga,Netral,Lainnya
info akun dokternya,info akun,Netral,Lainnya
Susah lho mas jadi dokter😢,susah lho mas jadi dokter,Negatif,Sedih
Itu pake stocking apa emang putih bgt kulitnya...,pake stocking apa emang putih bgt,Negatif,Lainnya
"Sekolah larang larang Lee, jatuh begitu saja",sekolah jatuh,Negatif,Lainnya
Menghancurkan karir sendiri,hancur karir,Negatif,Lainnya
"Lagian dok.. Knp gak nyewa lc aja atau michat kalo lg pengen,, gini kan malu maluin😂",lagi knp gak nyea lc ajtau michat kalo lg kan in,Negatif,Lainnya
Kadang korban pun menikmati😂,kadang korban nikmat,Negatif,Lainnya
Kebablasan kli mungkin istrinya GK ksih jatah Mkny bgtu,bablas kli mungkin istri gsih jatah mkny,Negatif,Lainnya
Sosmed dokternyanada gak.. Mau silaturahmi,sosmeokternyanada mau,Negatif,Lainnya
takut sedangkan dr kandungan kebanyakan laki2,takut dr kandung banyak,Takut,Takut
"Trauma korban akan melekat seumur hidup, jadi pantaslah pelaku dihukum seumur hidup. Buat teman2 penghuni lapas dimana nanti pelaku akan tinggal, sudah tau dong sambutan dan perlakuan apa yg pantas didapat oleh pelaku pemerkosaan dan pedofil? Titip salam yaaa... 😍😍😍",trauma korban lekat umur jadi pantas laku hukum umur buaeman huni lapas manti laku sudah tau dong sambut laku apa yg pantas dapat laku pemerkosn pedofil p salam,Negatif,Takut
Eh kok ada tt nya?,eh kok nya,Negatif,Lainnya
Padahal ganteng y. Tp syg kelakuannya,padahal ganteng tp syg,Negatif,Lainnya
"Amit...amit...dah....jangan sampai kejadian spt ini terjadi lg, gimana perasaan korban 😮 hrs mengalami hal spt itu. Keterlaluan bgt tugas dokter hrsnya mulia menyelamatkan nyawa manusia",jangan jadi spt jadi limana perasn korban hrs alami spt terlalu bgugas dokter hrsnya mulia menyelamatkayaa,Netral,Lainnya
Sudah capek2 sekolah dokter bertahun2 malah dirusak sama nafsu sesaat 😢,capek sekolah dokter tahun malah rusak sama nafsu sest,Negatif,Sedih
capek” kuliah bertahun” buat gelar dokter ujungnya ke sel besi yaa bang 😌,capek kuliah tahun buat gelar dokter ujung sel besi y bang,Negatif,Lainnya
Na ari siaaa kasep kasep kalakah ngaleceh ken ampunnnn deh ah 😂,nri sia kala ngaleceh ken ampu deh ah,Negatif,Lainnya
Si anji🐷 nya lupa pake bra😂😂😂,si anji nya luke bra,Netral,Lainnya
Jadi takut mau berobat,jadi takut mau,Takut,Takut
Salfok sama tt 😂,salfok sama,Negatif,Lainnya
Santai ajh Dokter jgn perduli bicara orang apa lg wartawan EGP in ajh....,santai ajh dokter jgn duli bicara orang apa lg arta egp in,Negatif,Lainnya
"Versi guru Uda,versi jaksa Uda,versi bidan Uda,skrng versi dokter 😂",versi guru jaksa bidan versi dokter,Negatif,Lainnya
Astaga ganteng dan berduit. Sangat di sayangkan..,astanteng sangat,Netral,Lainnya
Ini yg di namakan dokter cabulllllllll,yg nama dokter,Negatif,Lainnya
Kebiri aja ga sih,kebiri aja ga,Negatif,Lainnya
"Dear bang napi, ingat² mukanya ini orang jgn lupa kasih salam",dear bang napngat muka orang jgn lupa kasih,Negatif,Lainnya
"Maaf, aku salfok di dadanya",aku salfok,Netral,Lainnya
Mass susah bngt lo buat msuk ke prodi kedokteran😢,ma susah bngt lo buat msue prodi dokter,Negatif,Sedih
Kasian yah klo sudah bgini,kasi yah klo,Negatif,Lainnya
Mas...enth apa yg ada dibenakmu waktu itu😢😢😢😢😢 sia2 ilmu dan uangnya sekolah tinggi2 smg diberikan kesabaran kedua orangtuanya,enth apa yg benak aktu itu sia ilmu uang sekolah tin smg beri sabar dua,Negatif,Sedih
Karier + keluarga + harta hancur dalam seketika,karier keluarga harta hancur,Negatif,Lainnya
Gak usah pake masker covid udah lewat,gak usah pake masker covid udah,Negatif,Lainnya
Benget Pogo anj,benget pogo,Negatif,Lainnya
Cewe apa cowo ini dokter.. Suruh pake BH 😂😂,cee apa coo suruh pake bh,Netral,Lainnya
Ya ampun miris banget,ympun miris,Negatif,Lainnya
"Sudah menjelekkan Nama Rumah sakitnya, dokter²nya, nama dirinya dll.. hanya menuruti nafsu sesaatnya.. Hmm... Kok ga dipikir akibatnya nanti😱",menjeleaama rumah dokter nya diri turut nafsu kok ga pikir akibat nanti,Negatif,Takut
Bro Berfikir hukum bisa di beli dengan uangnya ? Padahal INDONESIA MAH GAK BISA GITU MAS !!!!!!,bro berfikir hukum di beli uang padahal indonesia mah gak gitu mas,Netral,Lainnya
"Jir lah masa sekelas dokter harus gini bgt pak, ampun deh😭",jir lah masa kelas dokter gin bgt ampun deh,Negatif,Sedih
Hurung rabi ta iku mangkane nek hurung na rabi to,hurung rabi ta iku mangkak hurung na rabi,Negatif,Lainnya
"Paling pinter kalo nangkap gituan ,tangkap itu yg koropsi negara",paling pinter kalo nangkap gituan yg koropsi,Negatif,Lainnya
"Ceulina meni beureum,pasti panas ceuli da loba nu ngomongkeun;dokter cabul",ceulina meni panas ceuli da loba nu ngomongkeun dokter,Netral,Lainnya
ternyata yg sakit dokter bukan pasien,nyata yg sakit dokter bukan,Negatif,Lainnya
Padahal jajan juga bisa kali.. bisa spek 10jt mah,padahal n bisa spek jt,Netral,Lainnya
Ngapain pke masker. Percuma.,ngapain pke,Negatif,Lainnya
kasian keluarga nya ...,kasi keluarga,Negatif,Lainnya
awake pucett ya ampun,aake puce,Netral,Lainnya
Pentingnya menjaga iman.,penting jaga,Negatif,Lainnya
"Pnh dgr crt teman, ini di 1 pulau tp kabupaten, katanya mrk sesama perawat laki2 dan jg dokter laki2, mrk sering bicarain ttg 'milik' pasien saat mau melahirkan dan sesudah melahirkan (dokter dan perawat laki2 di bagian kandungan) duh sy dgr crt teman sy itu jd takut wkt melahirkan anak, MK ny mau melahirkan anak dg dokter perempuan dan bidan saja. Pnh dpt dokter laki2 Uda tua, tp knl dg suami sy, dan wkt menolong sy melahirkan adl bidannya, wkt pemeriksaan bukaan jg bidan, saat melahirkan dokter hny membantu saat Uda mau klr, dan mengeluarkan ari2 dibantu bidan. Sy ud parno duluan keringat crt teman soal dokter dan perawat yg bicarain ttg 'milik' perempuan itu gini gitu 😢",pnh dgr di pulau tp kata mrk sama peraat laki jg dokter mrk sering bicarain g milik pasien st mau lahir sudah lahir duh sy dgr creman sy jd takut kt mk ny mau melahirkak dg dokter perempuan bidan pnh dpt dokter laki uda tp knl dg suami kt tolong sy lahir adl kt pemeriksn bukn jg st lahir dokter hny bantu st uda mau keluar ari bantu sy ud parno duluan keringat creman soal dokter peraat yg bicarain g milik perempuan gin gitu,Takut,Sedih
G pantes ambil profesi krn buat gampangin niat,g pantes ambil profesi krn buat,Netral,Lainnya
Pengen terkenal dengan cara yang salah😂,ken kenal cara salah,Negatif,Lainnya
BH nya dipake dulu,bh nya dipake,Netral,Lainnya
Kasian dokter kenapa jadi gitu,kasi dokter jadi,Negatif,Lainnya
Salfok warna kaki,salfok arna,Netral,Lainnya
Itu udah takdir udah nasib ga bisa di pungkiri harus kuat harus tabah dokter semoga dokter sehat selalu 🤲🤲🤲,itdah takdir udah nasib ga di pungkiri kuat tabah dokter moga dokter sehat selalu,Netral,Lainnya
Ko ada yg aneh 😂🤣🤣,ko yg aneh,Negatif,Lainnya
"Allah! Kita lihat dari penampilan nya,bukan orang biasa,dari postur tubuh,kulit,sekolah mahal,calon dokter/sudah jadi dokter,siapapun dia bisa melakukan kesalahan,semoga keluarga nya bisa menerima kesalahan nya dan memaafkan nya.",aah lihat tampil orang postur dokter jaa laku keluarga nya terima kesalahaya,Marah,Marah
Kok dr postur kayak bukan laki laki maaf,kok dr postur kayak bukan,Negatif,Lainnya
Padahal ganteng any tapi otaknya setengah,padahal ganteng any otak,Negatif,Lainnya
"Masih kasian sama korban, pasti dia shock dan merasa kecewa sama dirinya sendiri",kasi sama dia shock rasa kecea sama diri,Sedih,Sedih
Kalau kasus gini dia bakal sejahtera dengan imaginasinya,kalau kasus gin bakal sejahtera,Negatif,Lainnya
Dibuka atuh maskerna keheeed...,dibuktuh maskerna,Negatif,Lainnya
Ngapain pala kau pake2 maskermu itu,ngapain pala kau pake masker,Negatif,Lainnya
Mungkin beliau ini sudah tidak mau jadi dokter jadi dia melakulan tindakan yang melanggar kode etik kedokteran,mungkin beliau sudah mau jadi dokter jaa melakulan tindak lanar,Negatif,Lainnya
Seketika karir hancur 😢😢😢,seketirir hancur,Negatif,Sedih
Rugi banget sekolah mahal tinggi2 tapi jd pengangguran,rugi banget sekolah mahal tin jd,Negatif,Lainnya
"Pdhl kalo mau aman, mikir aja sedikit mending michat",pdhl kalo mau mikir aja sedikit mending,Negatif,Lainnya
Sekelas dokter bisa kelainan juga dasar dokter gak waras,kelas dokter lain dasar dokter gak,Netral,Lainnya
Hayang josbrot gratis,hayang josbrot,Netral,Lainnya
"Kantong2 mesti cek pas masuk sel, jgn boleh bawa bius 😂",kantong mesti cek pas masuk jgn baa bius,Negatif,Lainnya
Ini gambaran dokter jancok !,gambar dokter jancok,Negatif,Lainnya
Sekolah kedokteran mahal,sekolah dokter,Negatif,Lainnya
teu era ku profesii,teu era ku,Positif,Lainnya
"Harusnya masker dibuka biar yg lain tau tampangnya, siapa tau sudah banyak korban, gelar dokter mungkin sebagi tameng untuk niatnya dengan mudah terhadap pasiennya",harus masker buka biar yg tau siapa tau gelar dokter mungkin bagi tameng niat mudah,Negatif,Lainnya
"Sakola luhur luhur tapi tolol, sugan mah mabal wae sakolana😅",sakola sugan mah mabal ae sakolana,Negatif,Lainnya
Kok masih mulus wajah dan badannya!!!,kok mulus ajah badaya,Negatif,Lainnya
Sekelas dokter aja harus nya di cek kesehatan mental nya,kelas dokter aja nya ceesehatan mental,Negatif,Lainnya
"Padahal Dokter pasti uangnya byk,,,knpa gx beli cewek aja,knp harus perkosa anak orang,,? Sekolah tinggi2 jd dokter tapi otaknya bodoh,,",padahal dokter gx beli ceek sekolah tin jokter,Netral,Lainnya
padahal kek orang bener,padahal kek orang,Netral,Lainnya
Ni orng harus dikasih salam olahraga wkwk,ni orng kasih salam olahraga,Negatif,Lainnya
ini cowo apa cewe? ada yg aneh 😮,coo apa cee yg aneh,Negatif,Lainnya
Udh dikasih segala nya eh ternyata karir nya hancur bgtu aja demi nafsu terlalu hyper kali ini dokternya ya ampun 😢,udh kasih segala nya eh nyata karir nya hancur bgtu aja nafsu terlalu hyper kalni doktern ampun,Negatif,Sedih
